Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,MontlyCharges,Churn
37,Male,17,23,9,23,31.17647059,1
65,Female,33,28,9,22,11.60606061,1
61,Female,6,7,4,26,61.5,1
40,Female,58,8,2,10,13.10344828,1
63,Female,38,19,7,21,20.21052632,1
19,Male,53,3,6,17,15.24528302,1
45,Female,25,4,8,13,27.24,1
59,Male,17,21,1,24,50.47058824,1
55,Female,54,2,5,0,2.944444444,1
44,Male,13,12,7,7,48,1
61,Male,7,12,7,2,132.1428571,1
46,Male,41,12,3,25,12.95121951,1
22,Male,45,17,3,28,17.08888889,1
46,Female,47,4,5,10,6.361702128,1
64,Male,31,20,9,24,25.32258065,1
28,Female,22,16,1,7,17.68181818,1
35,Female,19,28,4,28,26.68421053,1
55,Female,34,6,2,7,11.52941176,1
35,Male,3,17,6,23,130.6666667,1
45,Female,23,4,5,1,30.39130435,1
24,Male,1,20,0,17,268,1
44,Female,8,11,7,26,17.375,1
60,Male,55,7,3,18,15.83636364,1
40,Female,46,24,3,1,8.782608696,1
26,Male,15,11,0,20,17.93333333,1
58,Female,28,17,0,24,29.28571429,1
56,Female,16,11,5,18,36.875,1
42,Female,12,6,8,25,47.16666667,1
52,Male,29,2,2,4,15,1
32,Male,13,6,4,11,49.92307692,1
38,Female,3,11,5,16,70.66666667,1
60,Male,50,10,2,4,11.04,1
48,Male,4,7,9,29,105.25,1
52,Female,1,29,2,19,202,1
55,Male,59,15,3,3,4,1
59,Female,37,11,0,11,14.72972973,1
26,Male,37,30,4,13,11.18918919,1
53,Female,14,2,2,5,24,1
60,Female,35,26,10,16,25.2,1
28,Male,33,14,7,29,25.93939394,1
60,Female,52,6,2,6,7.346153846,1
30,Female,8,6,10,14,45.625,1
27,Male,48,1,4,27,6.875,1
21,Male,34,10,7,17,25.5,1
25,Female,43,19,7,10,19.34883721,1
32,Female,18,14,5,15,30.66666667,1
46,Female,8,30,0,9,84,1
44,Female,22,7,7,4,39.36363636,1
27,Female,49,19,1,1,12.32653061,1
60,Female,53,23,1,10,17.30188679,1
57,Male,58,20,0,6,13.81034483,1
42,Female,37,12,8,21,26.62162162,1
31,Female,40,7,5,0,7.375,1
38,Female,55,25,10,16,2.781818182,1
27,Male,28,27,8,28,11.64285714,1
18,Female,46,30,0,5,5.847826087,1
40,Female,31,30,9,18,17.32258065,1
58,Male,32,6,4,5,21.375,1
24,Male,44,11,10,0,7.75,1
60,Male,11,14,8,27,31.27272727,1
39,Female,8,19,10,1,111.25,1
51,Male,2,6,1,23,479.5,1
49,Male,18,18,8,20,28.72222222,1
52,Male,25,26,9,17,26.32,1
36,Female,5,6,0,6,157.4,0
40,Female,46,3,6,28,18.10869565,1
21,Female,42,24,5,28,20.88095238,1
56,Female,7,22,7,15,83.42857143,1
63,Male,35,13,5,9,27.05714286,1
53,Female,51,4,9,1,6.37254902,1
30,Male,55,26,5,9,6.836363636,1
54,Female,54,4,4,15,15.83333333,1
55,Female,10,15,6,22,86,1
28,Male,54,26,2,12,5.333333333,1
56,Female,22,19,2,26,18.09090909,1
48,Male,49,20,1,7,19.44897959,0
40,Female,17,2,1,4,44.76470588,1
63,Female,15,16,4,17,51.33333333,1
59,Female,16,2,6,5,11.4375,1
56,Male,14,21,3,25,26.71428571,1
29,Female,42,13,2,1,6.785714286,1
22,Male,23,29,10,17,12.7826087,1
24,Male,14,22,2,17,42.42857143,0
55,Male,33,27,5,6,15.3030303,1
32,Female,59,9,6,23,10.44067797,1
61,Male,49,27,0,2,19.12244898,1
63,Male,58,26,7,9,1.879310345,1
56,Female,18,23,2,15,22.83333333,1
63,Male,13,17,10,6,68.46153846,1
51,Male,49,9,6,16,6.897959184,1
64,Male,26,24,10,8,23.42307692,1
54,Female,27,9,4,4,8.37037037,1
43,Male,49,22,8,29,5.326530612,1
24,Male,31,24,9,25,29.03225806,1
44,Male,40,8,10,4,12.575,1
22,Male,39,3,4,16,11.35897436,1
50,Female,9,30,2,8,59.66666667,1
43,Male,59,8,9,27,9.06779661,1
46,Male,55,7,3,7,17.65454545,1
40,Female,51,30,8,19,6.882352941,1
34,Female,19,17,1,5,10.57894737,1
64,Male,17,7,10,3,56.82352941,1
23,Male,49,23,1,20,17.85714286,1
18,Male,3,2,4,25,76,1
47,Female,14,21,8,15,11.78571429,1
48,Male,3,30,1,10,283.3333333,0
18,Female,27,23,1,11,27,1
55,Female,12,13,1,7,13.91666667,1
56,Male,39,20,1,29,17.76923077,1
21,Female,11,14,8,19,77.63636364,1
47,Male,2,4,8,11,213,1
40,Female,16,19,7,17,54.25,1
48,Female,2,30,1,19,204,1
37,Male,41,19,10,7,3.707317073,1
63,Male,48,10,3,9,9.333333333,1
51,Female,37,4,5,24,8.810810811,1
32,Female,35,9,1,15,27.17142857,0
51,Female,5,17,9,14,39,1
54,Male,38,7,7,14,18.81578947,1
18,Female,55,30,0,2,1.836363636,1
46,Male,38,16,8,17,13.02631579,1
39,Female,7,21,4,27,76.57142857,1
59,Female,24,24,2,3,21.5,1
42,Female,12,19,6,7,80.75,1
56,Male,15,18,3,11,31.4,1
50,Male,38,7,4,11,23.73684211,1
62,Male,6,27,8,3,83.16666667,1
49,Male,44,6,8,26,8.590909091,1
57,Female,46,19,3,5,12.02173913,1
63,Male,39,20,3,8,4.230769231,1
42,Female,58,1,3,10,12.63793103,0
32,Female,2,10,3,16,51.5,1
42,Male,45,28,4,30,7.444444444,1
52,Female,56,14,10,29,12.83928571,1
37,Male,45,9,7,29,10.22222222,1
37,Female,55,10,9,15,4.945454545,1
51,Female,9,16,6,19,110.5555556,1
50,Female,55,27,8,10,14.12727273,1
61,Female,10,20,8,27,83.6,1
65,Male,44,4,10,28,20.22727273,1
35,Male,21,26,7,13,27.14285714,1
33,Female,43,12,10,13,4.744186047,1
27,Female,40,6,6,2,14.875,1
38,Female,47,11,3,5,16.76595745,1
65,Male,33,13,2,23,4.303030303,1
47,Female,37,1,5,8,21.56756757,1
20,Male,7,7,2,16,123.8571429,0
60,Male,14,13,1,21,64.57142857,1
44,Male,2,27,7,12,468,1
25,Male,19,6,9,1,39.94736842,1
46,Female,43,7,10,27,3.11627907,1
31,Male,46,13,3,20,4.586956522,1
34,Female,21,13,1,27,43.33333333,1
60,Female,44,25,7,23,21.45454545,1
33,Female,40,26,3,22,7.325,1
54,Female,19,26,2,3,34.52631579,1
33,Female,1,1,7,18,411,1
45,Female,53,6,2,13,15.86792453,1
44,Female,18,14,4,2,13.83333333,1
43,Male,29,16,6,20,17,1
44,Female,34,26,4,12,10.38235294,1
22,Male,24,12,0,30,35.70833333,1
46,Female,19,7,5,4,40.57894737,1
34,Female,20,29,0,4,29,0
41,Male,56,2,4,24,6.303571429,1
54,Female,33,19,1,19,24.3030303,1
44,Female,50,19,5,28,12.36,1
21,Male,58,4,10,16,16.98275862,1
55,Male,17,5,3,19,56.29411765,1
50,Male,37,18,0,23,4,1
29,Female,56,12,9,25,2.571428571,1
22,Female,18,25,6,28,27.44444444,1
49,Male,18,20,0,4,35.66666667,0
51,Female,51,16,5,11,4.176470588,1
21,Male,46,13,0,23,17.89130435,1
20,Male,30,15,8,6,19.4,1
58,Female,51,23,0,2,15.33333333,1
53,Female,1,4,7,24,598,1
21,Male,17,29,7,28,58.23529412,1
62,Female,25,20,10,23,31.36,1
44,Male,3,19,0,12,89.33333333,1
27,Male,18,16,6,4,31.94444444,1
64,Male,60,26,3,9,13.05,1
60,Male,34,13,5,7,14.82352941,1
21,Male,20,1,1,7,16.3,1
53,Female,30,23,3,30,19.6,1
36,Female,52,2,3,13,9.346153846,1
62,Female,22,24,9,23,41.90909091,1
22,Female,35,5,2,11,25.48571429,1
65,Female,16,7,5,20,10.3125,1
58,Female,29,5,5,26,9.034482759,1
54,Male,56,7,7,4,3.678571429,1
32,Female,9,12,4,30,104,1
49,Male,14,16,9,24,20.35714286,1
64,Male,25,20,0,23,5.64,1
47,Female,56,27,5,5,14.33928571,1
35,Male,57,11,4,21,9.333333333,1
63,Male,44,15,0,3,17.09090909,1
48,Female,36,20,1,11,18.72222222,1
54,Male,3,17,4,27,133.6666667,1
18,Male,7,27,8,2,20.85714286,1
46,Male,9,26,0,28,63.22222222,1
52,Male,33,28,7,11,22,1
31,Female,50,10,7,11,8.08,1
18,Female,26,7,9,11,30.57692308,1
46,Female,48,18,1,29,17.02083333,1
28,Male,12,6,8,9,24.75,1
29,Female,38,20,5,26,14.81578947,1
61,Male,27,19,2,11,8.333333333,1
35,Female,46,16,1,10,8.934782609,1
19,Female,48,4,10,3,14.25,1
42,Female,8,9,6,3,88,1
59,Female,57,2,2,14,3.210526316,1
20,Female,29,12,9,3,31.31034483,1
62,Female,51,1,1,21,8.176470588,1
20,Male,40,1,4,16,12.25,1
60,Male,55,27,1,30,13.27272727,1
19,Male,54,10,9,12,11.18518519,1
52,Female,13,21,2,2,29.15384615,1
65,Female,59,1,8,9,15.52542373,1
64,Female,53,30,9,28,6.811320755,1
21,Female,45,27,4,17,12.15555556,1
55,Male,30,20,0,2,13.16666667,1
63,Female,30,26,0,24,22.76666667,1
63,Male,3,8,1,20,266,1
58,Female,36,6,6,18,14.41666667,1
50,Male,16,18,2,30,21.875,1
29,Male,8,8,3,14,93.5,1
34,Female,35,27,6,2,7.457142857,1
32,Female,47,1,1,22,19.95744681,1
28,Female,18,6,5,15,10.72222222,1
46,Male,44,14,8,23,9.727272727,1
57,Male,14,13,8,25,22.42857143,1
59,Male,34,19,8,6,9.088235294,1
22,Female,43,14,2,0,14.62790698,1
29,Male,59,5,5,12,3.542372881,1
57,Male,29,27,2,1,9.620689655,1
35,Female,3,13,10,19,184.6666667,1
64,Female,13,3,5,30,74.38461538,1
55,Male,51,28,8,23,16.98039216,1
60,Female,7,6,9,24,108.2857143,1
62,Female,44,17,4,11,5.863636364,1
54,Female,9,11,1,9,53.22222222,1
45,Female,10,23,10,19,73,1
41,Male,23,6,3,20,14.2173913,1
28,Male,2,14,4,4,192,1
47,Female,59,12,6,4,9.440677966,1
41,Female,33,12,10,16,27.90909091,1
31,Female,43,4,4,2,20.30232558,1
37,Male,13,6,7,11,15.84615385,1
23,Female,30,12,10,5,31.36666667,1
39,Male,11,9,9,15,68.27272727,1
42,Male,48,9,0,1,8.916666667,1
56,Male,47,3,6,23,18.78723404,1
49,Male,22,19,7,4,9.318181818,1
28,Male,2,6,1,20,260,0
55,Male,14,1,8,1,15.42857143,1
44,Male,42,4,3,3,20.5,0
21,Female,52,5,7,29,13.61538462,1
45,Female,31,14,3,28,26,1
65,Male,36,5,4,29,9.777777778,1
48,Male,37,7,1,24,23.56756757,1
21,Male,31,16,0,12,3.290322581,1
43,Male,40,19,10,27,17.35,1
60,Female,50,11,1,7,18.74,1
52,Female,14,18,2,29,56.14285714,1
63,Male,8,17,6,20,118.5,1
19,Male,10,16,5,8,40.3,1
60,Female,31,27,3,11,18.25806452,1
26,Female,29,8,2,3,23.86206897,1
23,Male,43,11,6,19,10.06976744,1
51,Female,34,30,8,22,28.76470588,1
29,Female,60,3,7,27,9,1
39,Male,14,10,1,30,32.78571429,1
21,Male,5,23,7,23,129,1
32,Male,45,19,4,23,17.4,1
24,Male,49,3,7,23,14.75510204,1
65,Female,52,27,4,30,17.75,1
36,Male,38,2,2,22,22.92105263,1
35,Male,1,21,4,9,113,1
18,Male,56,9,5,23,4.732142857,1
31,Female,34,24,7,16,26.05882353,1
62,Female,12,7,4,24,76.75,1
43,Female,34,24,1,18,5.617647059,1
27,Female,11,13,3,13,24,1
57,Female,34,18,8,8,17.91176471,1
56,Male,5,12,4,5,49.8,1
20,Male,2,6,7,5,393,1
39,Female,31,24,2,20,29.48387097,1
46,Female,51,9,8,11,7.019607843,1
52,Female,27,15,6,15,15.81481481,1
22,Female,22,1,8,17,27.54545455,1
24,Male,20,8,8,24,49.2,1
62,Male,55,3,6,16,9.654545455,1
39,Female,52,11,0,20,6.942307692,1
32,Male,24,26,6,24,17.125,1
49,Female,21,20,9,6,13.19047619,1
22,Female,3,27,3,5,322.6666667,1
38,Male,15,14,2,29,56.46666667,1
41,Female,50,22,6,11,16.78,1
45,Female,51,8,6,12,8.843137255,1
51,Male,4,20,9,0,225.25,1
58,Female,21,25,3,0,20.71428571,1
43,Male,18,6,2,2,10.83333333,1
23,Female,51,5,9,22,6.098039216,1
24,Male,8,23,8,18,17.75,1
21,Female,2,7,6,22,62.5,1
42,Female,19,22,1,23,13,1
39,Female,19,16,6,19,47.15789474,1
35,Male,58,16,10,29,14.56896552,1
23,Male,34,3,4,8,11.52941176,1
35,Female,40,18,2,14,9.075,1
56,Male,15,11,7,30,25.13333333,1
20,Female,27,28,9,11,35.7037037,1
59,Female,9,3,0,29,62.11111111,1
33,Female,34,10,9,2,20.32352941,1
59,Female,50,21,9,14,2.84,1
39,Female,10,28,6,16,10.4,1
62,Female,8,4,8,13,23.375,1
39,Female,48,5,6,17,2.229166667,1
26,Male,33,9,4,28,22.66666667,1
53,Female,13,25,2,20,26.23076923,1
49,Male,22,26,4,4,43.27272727,1
39,Female,11,6,2,25,43.27272727,1
44,Female,47,26,3,28,18.85106383,1
33,Male,29,6,6,16,3.517241379,1
61,Male,9,20,6,22,89.88888889,1
56,Female,36,16,3,27,17.72222222,1
43,Female,27,10,2,14,12.40740741,1
65,Female,3,22,6,27,322,1
44,Male,8,11,6,20,22.875,1
63,Female,7,13,8,20,14.42857143,1
28,Male,40,29,0,29,2.725,1
26,Female,11,12,7,13,71.36363636,1
23,Male,50,22,8,10,14.64,1
57,Male,18,20,7,4,23.72222222,1
51,Female,12,23,1,21,70,1
18,Male,23,19,9,30,19,1
49,Female,55,30,5,2,8.854545455,1
59,Male,46,24,10,12,9.326086957,1
47,Female,11,28,9,21,67.09090909,1
55,Male,49,3,6,13,16.95918367,1
21,Female,46,15,3,12,2.304347826,1
51,Male,1,30,4,13,192,1
38,Male,47,27,7,23,18.34042553,1
56,Male,49,10,8,13,10.91836735,1
27,Male,37,20,10,17,3.162162162,1
61,Male,13,13,4,14,24.92307692,1
48,Female,45,21,8,12,18.55555556,1
43,Female,34,6,1,29,29.17647059,1
44,Male,8,8,5,8,113.75,1
41,Male,42,10,9,1,7.714285714,1
52,Female,32,25,8,1,6.6875,1
56,Female,31,23,9,21,25.06451613,1
35,Male,23,23,1,5,32.26086957,0
21,Female,44,2,6,26,12.13636364,1
38,Male,41,6,10,26,6.780487805,1
59,Male,50,4,9,22,10.44,1
57,Male,2,30,7,19,475.5,1
36,Female,26,25,4,8,19.53846154,1
18,Female,30,25,7,19,7.466666667,1
63,Female,6,11,1,24,97.16666667,1
55,Male,55,4,10,19,6.963636364,1
28,Male,49,27,3,18,8.448979592,1
18,Female,39,24,0,22,24.97435897,1
40,Female,42,5,1,19,16.57142857,0
38,Female,58,3,1,17,13.93103448,1
64,Male,39,26,9,0,10.41025641,1
59,Female,51,13,3,4,12.96078431,1
21,Male,4,27,9,11,154,1
56,Female,35,26,5,3,10.28571429,1
25,Female,42,13,8,13,20.21428571,1
23,Male,12,10,6,20,51.16666667,1
40,Female,33,2,7,1,25.87878788,1
52,Female,56,26,0,10,5.375,1
43,Female,42,25,1,25,9.071428571,1
37,Female,44,11,7,7,20.43181818,1
39,Female,53,24,10,1,13.47169811,1
37,Male,38,11,3,19,9.842105263,1
34,Male,3,15,4,12,284.6666667,1
54,Female,1,13,0,14,361,1
29,Male,21,19,9,13,44.9047619,1
26,Male,53,26,9,14,8.962264151,1
42,Male,50,15,6,29,12,1
44,Male,32,28,5,16,3.34375,1
49,Male,45,13,9,8,20.37777778,1
37,Female,40,2,6,30,24.9,1
31,Female,59,2,1,6,9.813559322,1
30,Female,49,6,4,16,9.469387755,1
28,Female,2,16,4,9,277.5,1
37,Male,22,30,10,27,27.27272727,1
62,Female,37,27,4,23,24.45945946,1
44,Female,5,7,1,30,30.6,1
29,Female,32,16,3,19,22.65625,1
21,Female,7,14,0,24,19.71428571,1
18,Female,25,9,3,7,23.52,1
40,Male,13,1,2,16,50.69230769,1
48,Male,32,17,6,6,16.28125,1
41,Male,37,21,2,10,24.91891892,1
20,Female,46,24,9,9,18.69565217,1
30,Male,33,11,2,12,26.18181818,0
31,Male,58,16,2,26,15.9137931,1
43,Female,12,6,8,24,78.58333333,1
49,Male,49,12,8,6,14,1
32,Male,18,3,2,13,22.16666667,1
65,Female,17,10,7,10,16.35294118,1
48,Male,59,20,5,6,5.033898305,1
27,Female,22,16,9,14,8.909090909,1
50,Male,43,3,0,24,10.30232558,1
29,Male,32,17,0,15,9.0625,1
42,Female,48,7,8,14,19.54166667,1
48,Male,48,18,3,9,18.72916667,1
51,Female,7,25,5,28,56.85714286,1
19,Male,14,9,6,28,30.42857143,1
29,Female,45,15,0,6,9.777777778,1
57,Female,44,26,2,25,12.45454545,1
37,Male,54,15,7,12,11.38888889,1
43,Female,2,3,4,11,187,1
30,Male,19,29,5,27,50.89473684,1
59,Male,55,5,7,5,14.50909091,1
58,Female,26,29,8,25,22.53846154,1
29,Female,1,16,10,25,464,1
30,Male,23,6,4,15,7.391304348,1
49,Female,60,24,6,3,16.61666667,1
59,Female,38,9,7,27,9.447368421,1
28,Male,14,11,6,0,42.28571429,1
44,Female,31,25,1,0,18.48387097,1
29,Female,54,20,4,12,15.24074074,1
24,Male,49,11,4,28,15.20408163,1
39,Male,9,17,5,4,22.88888889,1
33,Male,58,11,5,18,3.706896552,1
28,Male,1,8,0,25,888,1
62,Female,36,28,3,14,12.66666667,1
53,Male,45,14,1,10,10.51111111,1
48,Male,38,9,4,6,19.92105263,0
36,Male,3,28,10,9,46.66666667,1
26,Male,1,6,10,26,523,1
46,Male,39,29,4,10,15.07692308,1
43,Male,16,25,2,17,47.4375,0
21,Female,17,28,8,17,26.17647059,1
60,Male,29,17,6,11,9.344827586,1
28,Male,29,26,10,7,15.79310345,1
47,Male,6,16,2,2,154.6666667,0
29,Female,45,18,3,22,10.17777778,1
46,Female,47,4,3,23,19.25531915,1
34,Female,60,14,7,19,14.61666667,1
18,Female,23,16,9,24,31.17391304,1
46,Female,49,28,1,19,7.102040816,1
20,Female,37,13,3,25,19.40540541,1
52,Male,33,4,0,1,27.36363636,1
59,Female,12,2,2,2,18.66666667,1
56,Female,39,10,9,10,18.8974359,1
44,Male,48,29,3,1,16.85416667,0
53,Male,25,1,4,12,5.64,1
28,Female,27,27,5,29,34.37037037,1
56,Female,32,11,6,9,17.78125,1
29,Female,30,30,3,6,10.9,1
18,Male,37,26,6,19,13.97297297,1
60,Male,55,6,10,16,14.34545455,1
21,Male,35,3,10,14,22.57142857,1
18,Female,51,17,10,15,15.92156863,1
46,Male,3,1,5,9,165,1
61,Female,21,27,0,8,45.23809524,1
38,Female,20,3,2,12,15.45,1
28,Male,13,17,0,10,70.69230769,0
49,Male,13,20,3,30,46.92307692,1
37,Male,46,21,9,12,18.26086957,1
55,Female,51,25,2,26,12.15686275,1
52,Female,11,30,1,2,78.27272727,1
57,Female,11,13,1,27,16.18181818,1
29,Female,20,18,9,23,46.55,1
43,Male,31,5,1,25,17.38709677,1
36,Male,55,24,5,18,3.181818182,1
46,Female,23,2,3,7,29.43478261,1
20,Male,60,8,8,14,12.08333333,1
19,Male,59,5,3,23,2.305084746,1
38,Male,32,8,3,18,12.90625,1
27,Female,12,6,8,17,58.33333333,1
38,Female,12,28,2,18,71.33333333,1
62,Male,47,21,2,25,4.723404255,1
38,Male,54,25,1,0,14.98148148,1
28,Male,38,11,9,2,10.71052632,1
29,Female,44,20,1,9,21.25,1
23,Male,11,2,7,16,83.45454545,1
44,Male,44,23,3,8,7,1
24,Male,28,5,5,2,27.57142857,1
43,Female,54,25,5,7,11.85185185,1
21,Male,55,7,1,18,11.43636364,0
45,Female,56,20,4,11,13.85714286,1
48,Male,40,29,6,18,12.3,1
20,Male,42,4,9,13,16.9047619,1
58,Male,18,1,3,6,19.88888889,1
51,Female,36,18,9,26,6.277777778,1
51,Female,31,15,6,24,15.25806452,1
36,Female,50,19,7,17,9.3,1
59,Male,41,28,1,13,8.341463415,1
27,Female,35,19,8,11,17.34285714,1
25,Male,47,25,4,1,9.829787234,1
20,Male,15,23,0,6,10.4,1
31,Male,15,13,2,7,11.13333333,1
36,Male,13,10,3,16,39.30769231,1
41,Male,60,24,8,22,11.98333333,1
40,Female,54,29,1,3,6.185185185,1
34,Female,53,21,10,11,6.339622642,1
30,Male,16,13,3,15,8.25,1
27,Male,44,5,10,29,10.06818182,1
56,Male,34,5,7,3,18.58823529,1
51,Female,55,14,10,22,17.43636364,1
41,Male,4,3,3,23,39.5,1
62,Male,10,18,6,30,19.2,1
25,Male,55,12,6,26,14.4,1
25,Female,33,25,6,12,17.3030303,1
44,Female,34,13,8,21,15.55882353,1
25,Female,56,27,8,27,11.42857143,1
40,Male,57,1,3,20,6.526315789,1
59,Female,60,8,0,6,13.53333333,1
28,Male,43,29,10,16,11.8372093,1
39,Male,24,19,9,2,32.58333333,1
25,Female,43,17,10,9,19.13953488,1
57,Female,41,12,4,7,8.780487805,1
42,Female,36,30,9,28,15.30555556,1
18,Female,45,18,4,15,9.488888889,1
62,Male,55,6,1,6,14.32727273,1
18,Female,58,2,0,19,13.56896552,1
59,Female,12,25,10,12,17.5,1
35,Male,3,15,1,18,85.66666667,1
19,Female,33,29,2,15,12.60606061,1
40,Female,56,7,5,4,10.625,1
42,Male,55,12,0,7,17.01818182,1
38,Female,50,22,3,9,16.3,1
53,Female,37,20,7,3,3.432432432,1
39,Male,38,22,8,2,22.23684211,1
32,Male,41,16,3,24,11.70731707,1
30,Female,1,26,1,4,517,0
44,Female,53,4,9,9,11.56603774,1
23,Male,9,7,2,0,31,1
49,Male,26,10,2,20,34.26923077,0
35,Male,39,7,5,23,5.871794872,1
64,Female,1,22,5,3,287,1
23,Female,28,25,1,22,3.678571429,1
62,Male,28,2,8,14,34.64285714,1
32,Male,28,17,7,26,4.928571429,1
60,Male,59,9,8,15,9.406779661,1
53,Female,23,1,4,25,26.91304348,1
54,Female,15,27,6,21,25.46666667,1
53,Male,28,30,7,11,20.92857143,1
27,Female,42,27,10,20,14.07142857,1
34,Male,13,2,4,1,11.46153846,1
57,Female,30,1,7,30,9.433333333,1
23,Male,36,12,0,6,3.083333333,1
62,Female,58,5,8,7,9.017241379,1
52,Female,50,15,0,21,4.64,1
43,Female,39,3,0,2,3.41025641,1
56,Female,22,6,1,9,8.590909091,1
34,Female,48,2,9,7,2.208333333,1
50,Male,43,25,3,2,21.90697674,1
41,Female,36,17,10,29,26.83333333,1
38,Female,21,22,9,25,30.95238095,1
18,Female,58,25,1,30,6.465517241,1
56,Male,26,15,2,4,7.115384615,1
20,Male,58,9,3,1,11.01724138,1
62,Female,16,21,1,16,18.75,1
57,Female,12,16,8,27,32.33333333,1
64,Male,51,30,3,10,8.509803922,1
41,Female,30,24,9,26,31.76666667,1
35,Female,31,29,4,1,28.74193548,1
24,Female,41,22,5,4,20.04878049,1
19,Female,1,14,9,6,356,1
57,Female,44,17,8,15,13.20454545,1
52,Male,54,13,2,26,4.166666667,1
48,Male,19,9,1,2,35.94736842,1
44,Female,22,18,4,30,19.81818182,1
51,Female,3,10,4,7,182.6666667,1
25,Female,20,7,3,14,21.9,1
28,Male,39,20,7,3,17.61538462,1
43,Male,9,11,1,24,25.11111111,1
43,Male,25,5,2,16,33.48,1
51,Female,22,21,6,10,8.772727273,1
25,Male,43,28,8,6,13.04651163,1
45,Male,33,6,7,3,21.33333333,1
25,Female,50,30,5,10,13.36,1
46,Male,19,14,3,22,37.26315789,1
62,Female,45,4,4,8,17.24444444,1
54,Female,9,20,4,4,19.66666667,1
32,Male,33,10,4,0,17.24242424,1
38,Female,49,26,0,24,9.734693878,1
23,Male,27,30,5,22,12.92592593,1
36,Male,45,20,10,22,20.53333333,1
63,Male,52,22,2,29,14.48076923,1
52,Male,15,3,5,9,17.4,1
18,Male,1,6,8,11,651,1
43,Female,32,8,3,0,5.84375,1
22,Male,1,2,3,12,946,1
30,Female,4,30,4,8,166.25,1
21,Male,57,6,5,2,15.73684211,1
55,Male,59,5,7,12,13.6779661,1
59,Male,30,8,9,27,24.4,1
58,Female,5,8,10,14,112.4,1
65,Male,44,25,2,21,13.15909091,1
47,Male,57,10,3,5,14.49122807,1
64,Female,14,30,8,19,23.71428571,1
29,Male,46,4,5,19,6.304347826,1
48,Male,40,30,6,0,14.925,1
23,Female,51,10,6,14,7.235294118,1
46,Female,30,9,8,11,23.4,1
58,Male,9,10,9,9,69.66666667,1
61,Male,20,14,8,25,49.75,1
61,Female,35,21,0,26,8.085714286,1
55,Female,43,4,0,20,11.55813953,1
41,Male,11,22,10,18,61.18181818,1
59,Male,46,18,3,28,18.30434783,1
25,Male,1,6,5,26,261,1
53,Female,32,3,4,13,28.03125,1
